example_id,tweet_id,customer_text,next_agent_response,gold_intent,gold_action,gold_reason,model_intent,model_confidence,evidence_level,top_similarity,model_action,model_reason,model_reply,evidence_count,top_evidence_customer,top_evidence_response
gold_002,1006708,@AppleSupport Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,@358222 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9918,strong,0.5344,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport iPhone 7 and iOS 11.1,@461989 Go ahead and DM us when you started seeing this issue and we'll continue working there. https://t.co/GDrqU22YpT
gold_010,2286658,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24,hardware_device,auto_handle,General device hardware or device-function problem.,hardware_device,0.2441,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24
gold_014,2398066,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",hardware_device,0.1908,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,2,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT"
gold_015,2362993,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9052,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT
gold_019,291822,@AppleSupport I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,@185496 Great.  Glad it is working now.,other,auto_handle,Insufficient context or a general/novel issue.,hardware_device,0.5247,weak,0.2566,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@AppleSupport Thank you, it's fixed",@725022 We are happy to hear it's fixed. Please feel free to reach out if you need us in the future.
gold_022,2014030,"@115858 purchased your fancy new phone on the first day, and now can’t type the letter “eye” in texts or emails...please fix ASAP!!!!",@595532 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",purchases_billing,0.587,moderate,0.3124,escalate,The 'purchases_billing' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport I️ can’t type the letter “I️”.,@464524 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
gold_023,2508168,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,"@249053 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",keyboard_input,0.6399,strong,1.0,escalate,Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,"@249053 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6"
gold_027,1674734,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again.",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",hardware_device,0.2471,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again."
gold_048,1925407,@AppleSupport what is this we’ve reserved a phone for you message when is my ship date,@573083 We'd be happy to look into this with you. Please DM us more details on where you're receiving this message. We'll help there. https://t.co/GDrqU22YpT,purchases_billing,auto_handle,"Purchase, subscription, payment, refund, or billing issue.",messaging,0.5792,strong,1.0,escalate,Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport what is this we’ve reserved a phone for you message when is my ship date,@573083 We'd be happy to look into this with you. Please DM us more details on where you're receiving this message. We'll help there. https://t.co/GDrqU22YpT
gold_052,2732862,Can @115858 fix this thing I️ I️ I️ I️ I️ It’s extremely annoying,"@766035 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",hardware_device,0.2967,moderate,0.3787,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@applesupport please fix this I️ thing it’s literally a nightmare,@467503 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
gold_066,1962066,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,@581837 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9443,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,@581837 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT
gold_067,1124376,@385124 @115858 The WiFi constantly turns itself back on too - helpful!,@385123 We'd like to know a bit more to see if we can help. Could you clarify how you're turning off Wi-Fi on your device?,connectivity_calls,auto_handle,"Wi-Fi, Bluetooth, cellular, network, or calling issue.",connectivity_calls,0.8683,moderate,0.3885,escalate,Connectivity issues require stronger historical evidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,.@AppleSupport Is Wi-fi turning itself back on automatically because of wi-fi calling? I turn it off and it turns itself back on.,@165462 Let us know what steps you're taking to disable Wi-Fi. We'll be happy to look into this with you.
gold_068,1976165,"@115858 Why when I’m ready to press “I” it puts this shit -&gt; I️? Please fix the issue 
- Aggravated customer",@585207 We are here to help whenever possible. DM which iPhone and specific iOS version you are using currently to get started. https://t.co/GDrqU22YpT,keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",keyboard_input,0.2671,strong,1.0,escalate,Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@115858 Why when I’m ready to press “I” it puts this shit -&gt; I️? Please fix the issue - Aggravated customer,@585207 We are here to help whenever possible. DM which iPhone and specific iOS version you are using currently to get started. https://t.co/GDrqU22YpT
gold_069,1570324,@115858 pls fix the battery life. annoying af,@284502 We'd like to look into this with you. What's your current iOS version?,battery_charging,escalate,"Battery, charging, or battery-life issue.",battery_charging,0.9928,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We understand your battery is draining quickly. We'd like to look into this with you. Please let us know which iPhone model and iOS version you're using.,3,@115858 pls fix the battery life. annoying af,@284502 We'd like to look into this with you. What's your current iOS version?
gold_071,2420089,@115858 my phone keeps autocorrecting ‘it’ to I.t and this bug just started with the last night update and hasn’t been fixed with any of the bug fixer ones prior to that ?? None of the autocorrect hacks are working on it pls help,@695207 We'd be happy to help. We have some steps you can try for addressing this issue. Meet us in DM and we'll get started. Thanks! https://t.co/GDrqU22YpT,keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",keyboard_input,0.743,none,0.0,escalate,There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,,
