example_id,tweet_id,customer_text,next_agent_response,gold_intent,gold_action,gold_reason,model_intent,model_confidence,evidence_level,top_similarity,model_action,model_reason,model_reply,evidence_count,top_evidence_customer,top_evidence_response
gold_002,1006708,@AppleSupport Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,@358222 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9918,strong,0.5344,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport iPhone 7 and iOS 11.1,@461989 Go ahead and DM us when you started seeing this issue and we'll continue working there. https://t.co/GDrqU22YpT
gold_015,2362993,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9052,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT
gold_066,1962066,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,@581837 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9443,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,@581837 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT
gold_069,1570324,@115858 pls fix the battery life. annoying af,@284502 We'd like to look into this with you. What's your current iOS version?,battery_charging,escalate,"Battery, charging, or battery-life issue.",battery_charging,0.9928,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We understand your battery is draining quickly. We'd like to look into this with you. Please let us know which iPhone model and iOS version you're using.,3,@115858 pls fix the battery life. annoying af,@284502 We'd like to look into this with you. What's your current iOS version?
gold_100,267778,"For the second time in 2 weeks,  the iOS11 update caused my phone to stop working. Guess I'll be making another to the @115858 store.",@179848 What's going on with your iPhone? We'd like to provide any help we can. DM us. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.8209,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,"For the second time in 2 weeks, the iOS11 update caused my phone to stop working. Guess I'll be making another to the @115858 store.",@179848 What's going on with your iPhone? We'd like to provide any help we can. DM us. https://t.co/GDrqU22YpT
gold_123,1953089,@AppleSupport Noooo. You know it’s the new update. Enough people have complained.,@579887 How many times do you charge your device in a day? Which version of iOS 11 are you using? Let us know via DM. https://t.co/GDrqU22YpT,battery_charging,escalate,"Battery, charging, or battery-life issue.",software_update,0.8082,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport Noooo. You know it’s the new update. Enough people have complained.,@579887 How many times do you charge your device in a day? Which version of iOS 11 are you using? Let us know via DM. https://t.co/GDrqU22YpT
gold_147,1552171,"@AppleSupport Yeah, didn’t work. Software update?",@480274 We'd like to take a closer look. Please DM us your current iOS version and we'll go from there. https://t.co/GDrqU2kzhr,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9132,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,"@AppleSupport Yeah, didn’t work. Software update?",@480274 We'd like to take a closer look. Please DM us your current iOS version and we'll go from there. https://t.co/GDrqU2kzhr
gold_151,1596632,@AppleSupport I got the latest update,@490505 OK.  Let's take this conversation to DM. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9389,strong,0.5737,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport I got the iPhone 6s,@201082 Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
gold_161,2691766,@AppleSupport #iOS version 11.0.1.,"@756671 Thank you. Let's begin our steps by backing up your iPhone and updating to iOS 11.1.2 and then test to see if we're still noticing the issue.
How to back up: https://t.co/4f8hwT5to6
Update the iOS software on your iPhone: https://t.co/80YRnjDFDk",software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.8605,strong,0.9488,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@115858 @AppleSupport iOS version : 11.1.2,"@287016 We're happy to help with downloading your apps. Meet us in DM with more details, such as any errors messages you're getting and which country you're in, and we'll get started. https://t.co/GDrqU22YpT"
gold_165,449427,@AppleSupport iOS 11.1.2.. apps are updated too,@221512 Okay great. We can go ahead and take a further look in to this today. Send us a DM to continue. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9919,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport iOS 11.1.2.. apps are updated too,@221512 Okay great. We can go ahead and take a further look in to this today. Send us a DM to continue. https://t.co/GDrqU22YpT
