example_id,tweet_id,customer_text,next_agent_response,gold_intent,gold_action,gold_reason,model_intent,model_confidence,evidence_level,top_similarity,model_action,model_reason,model_reply,evidence_count,top_evidence_customer,top_evidence_response
gold_001,972534,@AppleSupport What if my country doesn't have genuine spare parts. My iPhone 7 screen is cracked &amp; I can't get it to be repaired at an AASP.,@320381 DM us and we'll check into additional service options. https://t.co/GDrqU22YpT,repair_support,escalate,Repair/service or physical device issue requires service handling.,hardware_device,0.3687,moderate,0.3386,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport My country is SAUDIA,@740958 Thanks for getting back to us with your country. Please click here in order to meet us in DM and we'll continue to work together: https://t.co/GDrqU22YpT
gold_002,1006708,@AppleSupport Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,@358222 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9918,strong,0.5344,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,@AppleSupport iPhone 7 and iOS 11.1,@461989 Go ahead and DM us when you started seeing this issue and we'll continue working there. https://t.co/GDrqU22YpT
gold_003,247622,@AppleSupport I’m afraid the update hasn’t helped. Phone still going haywire. Any thoughts?,"@174836 Which iOS and model are you using? Also, do you use a screen protector or case?
 Does the issue persist after removing those?",software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.7314,weak,0.2394,escalate,There is insufficient historical resolution evidence for a grounded reply. Software-update issues require higher classification confidence before automation. Software-update issues require stronger historical evidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport The update helped a lot! Thank you,@161527 You're welcome!
gold_004,386884,"@115858 while the new ios is okay, why the hell does it ALWAYS turn on WiFi and Bluetooth?! It’s killing battery for nothing! Sort it out.",@207583 We're glad to help. Wi-Fi and Bluetooth options in the Control Center have been updated for iOS 11: https://t.co/vzVz37YMv0,connectivity_calls,escalate,"Wi-Fi, Bluetooth, cellular, network, or calling issue.",connectivity_calls,0.6592,moderate,0.3022,escalate,Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply. Connectivity issues require higher classification confidence before automation. Connectivity issues require stronger historical evidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport why does my iPhone turn on WiFi and Bluetooth automatically? 😭 #IWantToUseMyData,@124682 Are you doing it from Control Center? That would just disconnect your devices. Learn more here: https://t.co/G7BHuQnDS6
gold_005,385950,@115858 welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,@207371 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,hardware_device,escalate,General device hardware or device-function problem.,repair_support,0.4665,none,0.0,escalate,The 'repair_support' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,,
gold_006,1895594,What's wrong with @115858 #iphone not working since this morning. Only  these boot screen. Anyone have any clue? https://t.co/0kO3qhUjJB,@565007 Let us help! This article explains what to do if they get stuck during start up: https://t.co/8MvHMFZ83h DM us if issue persists. https://t.co/GDrqU22YpT,hardware_device,escalate,General device hardware or device-function problem.,hardware_device,0.3359,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,What's wrong with @115858 #iphone not working since this morning. Only these boot screen. Anyone have any clue? https://t.co/0kO3qhUjJB,@565007 Let us help! This article explains what to do if they get stuck during start up: https://t.co/8MvHMFZ83h DM us if issue persists. https://t.co/GDrqU22YpT
gold_007,1633133,@AppleSupport having trouble with my iphone x allready joke man,"@468641 We're here to help. To start, what iOS version are you using and what issue(s) are you experiencing exactly?",hardware_device,escalate,General device hardware or device-function problem.,hardware_device,0.3462,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport having trouble with my iphone x allready joke man,"@468641 We're here to help. To start, what iOS version are you using and what issue(s) are you experiencing exactly?"
gold_008,2355005,"@AppleSupport Buenas tardes, me llego un correo algo sospechoso, me gustaría si pueden asesorarme.",@680382 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,account_icloud,escalate,"Apple ID, iCloud, authentication, or account-security issue.",hardware_device,0.4994,moderate,0.3662,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@AppleSupport hola me llego este correo , esto lo mandan ustedes ? https://t.co/mXYK0Xtufv",@220766 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join: https://t.co/OczyRx7IOs
gold_009,331707,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT",software_update,escalate,Issue is directly related to an operating-system update or version.,hardware_device,0.3797,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT"
gold_010,2286658,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24,hardware_device,auto_handle,General device hardware or device-function problem.,hardware_device,0.2441,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24
gold_011,1130456,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT,apps_services,escalate,Application or Apple service functionality issue.,connectivity_calls,0.1777,strong,1.0,escalate,Intent classification confidence is below the safe handling threshold. Connectivity issues require higher classification confidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT
gold_012,2143242,@AppleSupport why is this popping up every 2 minutes when I don’t send text messages 🙃 https://t.co/T6DP5EC5aY,@630127 Thanks for contacting us. We'd like to take a closer look at this. Please reach out in DM with your iOS verison. https://t.co/GDrqU22YpT,messaging,escalate,"Messages, SMS, iMessage, or voicemail communication issue.",messaging,0.9664,weak,0.2709,escalate,There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,Hey @AppleSupport why is this symbol I️ popping up when I️ use the letter I️,@362199 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
gold_013,1404826,iOS 11 has destroyed the speed and battery life on my iPhone 6 and 5s. This sucks big time! @115858 @AppleSupport,@446606 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,battery_charging,escalate,"Battery, charging, or battery-life issue.",battery_charging,0.9049,moderate,0.3354,escalate,There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport iOS 11 has destroyed my phone,@349954 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.
gold_014,2398066,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",hardware_device,0.1908,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,2,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT"
gold_015,2362993,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,software_update,escalate,Issue is directly related to an operating-system update or version.,software_update,0.9052,strong,1.0,auto_handle,The intent is considered low-risk and both classification confidence and historical evidence exceed the fixed handling thresholds.,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,3,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT
gold_016,898671,@115858 me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,@333391 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,battery_charging,escalate,"Battery, charging, or battery-life issue.",software_update,0.5977,weak,0.235,escalate,Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply. Software-update issues require higher classification confidence before automation. Software-update issues require stronger historical evidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@176769 @AppleSupport Lo odio... se acaba mi batería rapidísimo, se traba!!! No me gusto nada",@269675 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
