example_id,tweet_id,customer_text,gold_intent,model_intent,model_confidence,evidence_level,top_similarity,top_evidence_customer,top_evidence_response,model_action,model_reply,evidence_exists,overlap_ratio,intent_keyword_matches,intent_grounded,historical_grounding,strong_evidence_candidate,review_priority
gold_001,972534,@AppleSupport What if my country doesn't have genuine spare parts. My iPhone 7 screen is cracked &amp; I can't get it to be repaired at an AASP.,repair_support,hardware_device,0.3687,moderate,0.3386,@AppleSupport My country is SAUDIA,@740958 Thanks for getting back to us with your country. Please click here in order to meet us in DM and we'll continue to work together: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.1429,"iphone, screen, phone, cracked",1,1,0,medium
gold_002,1006708,@AppleSupport Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,software_update,software_update,0.9918,strong,0.5344,@AppleSupport iPhone 7 and iOS 11.1,@461989 Go ahead and DM us when you started seeing this issue and we'll continue working there. https://t.co/GDrqU22YpT,auto_handle,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,1,0.4,ios,1,1,1,low
gold_003,247622,@AppleSupport I’m afraid the update hasn’t helped. Phone still going haywire. Any thoughts?,software_update,software_update,0.7314,weak,0.2394,@AppleSupport The update helped a lot! Thank you,@161527 You're welcome!,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.3,update,1,0,0,high
gold_004,386884,"@115858 while the new ios is okay, why the hell does it ALWAYS turn on WiFi and Bluetooth?! It’s killing battery for nothing! Sort it out.",connectivity_calls,connectivity_calls,0.6592,moderate,0.3022,@AppleSupport why does my iPhone turn on WiFi and Bluetooth automatically? 😭 #IWantToUseMyData,@124682 Are you doing it from Control Center? That would just disconnect your devices. Learn more here: https://t.co/G7BHuQnDS6,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2857,"bluetooth, wifi",1,1,0,medium
gold_005,385950,@115858 welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,hardware_device,repair_support,0.4665,none,0.0,,,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0,repair,1,0,0,high
gold_006,1895594,What's wrong with @115858 #iphone not working since this morning. Only  these boot screen. Anyone have any clue? https://t.co/0kO3qhUjJB,hardware_device,hardware_device,0.3359,strong,1.0,What's wrong with @115858 #iphone not working since this morning. Only these boot screen. Anyone have any clue? https://t.co/0kO3qhUjJB,@565007 Let us help! This article explains what to do if they get stuck during start up: https://t.co/8MvHMFZ83h DM us if issue persists. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, screen, phone",1,1,1,low
gold_007,1633133,@AppleSupport having trouble with my iphone x allready joke man,hardware_device,hardware_device,0.3462,strong,1.0,@AppleSupport having trouble with my iphone x allready joke man,"@468641 We're here to help. To start, what iOS version are you using and what issue(s) are you experiencing exactly?",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, phone",1,1,1,low
gold_008,2355005,"@AppleSupport Buenas tardes, me llego un correo algo sospechoso, me gustaría si pueden asesorarme.",account_icloud,hardware_device,0.4994,moderate,0.3662,"@AppleSupport hola me llego este correo , esto lo mandan ustedes ? https://t.co/mXYK0Xtufv",@220766 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join: https://t.co/OczyRx7IOs,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.3,,0,1,0,medium
gold_009,331707,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus",software_update,hardware_device,0.3797,strong,1.0,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, phone",1,1,1,low
gold_010,2286658,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,hardware_device,hardware_device,0.2441,strong,1.0,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, phone",1,1,1,low
gold_011,1130456,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,apps_services,connectivity_calls,0.1777,strong,1.0,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_012,2143242,@AppleSupport why is this popping up every 2 minutes when I don’t send text messages 🙃 https://t.co/T6DP5EC5aY,messaging,messaging,0.9664,weak,0.2709,Hey @AppleSupport why is this symbol I️ popping up when I️ use the letter I️,@362199 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.3,"messages, text, message",1,0,0,high
