example_id,customer_text,gold_intent,model_intent,model_confidence,evidence_level,top_similarity,top_evidence_customer,top_evidence_response,model_reply,historical_grounding,human_evidence_relevant,human_reply_supported_by_evidence,human_notes,automated_evidence_judgment,review_status
gold_003,@AppleSupport I’m afraid the update hasn’t helped. Phone still going haywire. Any thoughts?,software_update,software_update,0.7314,weak,0.2394,@AppleSupport The update helped a lot! Thank you,@161527 You're welcome!,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_005,@115858 welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,hardware_device,repair_support,0.4665,none,0.0,,,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_012,@AppleSupport why is this popping up every 2 minutes when I don’t send text messages 🙃 https://t.co/T6DP5EC5aY,messaging,messaging,0.9664,weak,0.2709,Hey @AppleSupport why is this symbol I️ popping up when I️ use the letter I️,@362199 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_016,@115858 me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,battery_charging,software_update,0.5977,weak,0.235,"@176769 @AppleSupport Lo odio... se acaba mi batería rapidísimo, se traba!!! No me gusto nada",@269675 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_019,@AppleSupport I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,other,hardware_device,0.5247,weak,0.2566,"@AppleSupport Thank you, it's fixed",@725022 We are happy to hear it's fixed. Please feel free to reach out if you need us in the future.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_020,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,purchases_billing,account_icloud,0.7747,weak,0.2294,@AppleSupport why can't I use my card to buy more iCloud storage on my card when I'm on family sharing? Am I missing something??,"@585429 On Family Sharing, what you buy is charged to the organizer's card, unless you have store credit. More here: https://t.co/dmLzCj6kTP",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_021,"What the hell is wrong with iPhone batteries now?! Unplugged it at 6.00, 45 minutes later I pick it up and battery is 65%. Haven’t even used it! Is this @115858 ‘s way of getting me to buy an X?",battery_charging,battery_charging,0.5344,weak,0.2803,What the hell is wrong with iOS 11.1.1 @AppleSupport https://t.co/HG1JYlzwPs,@646732 That's an unexpected behavior. Let's dive into this issue together. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_030,@AppleSupport I get duplicated messages from non apple iPhone users. Why?,messaging,messaging,0.9053,weak,0.2416,@AppleSupport Messages from other people.,@293275 OK. This means that they have not updated their phones to the most recent version of iOS.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
gold_031,Hey @AppleSupport my Messages App crushes every time when I want to open it. I tried everything. I’ve reboot my iPhone 5S and i have the latest iOS. What should i do?,messaging,messaging,0.7953,weak,0.2726,@AppleSupport What should I do?,"@186353 No worries, we've got your back. Please DM us and we'll continue to assist you from there. https://t.co/GDrqU22YpT",Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,Yes,No,"AI-assisted draft: some topical similarity, but historical response gives limited direct support.",No,AI-assisted draft — human confirmation required
gold_034,@AppleSupport Yes lt does. Stil there after reboot and hard reset,other,hardware_device,0.5118,weak,0.2563,@AppleSupport Yes,@212459 Have you tried a second charging cable or power block? That'll help us isolate this down even further.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,No,No,AI-assisted draft: retrieved case appears weak or unrelated to the primary issue.,No,AI-assisted draft — human confirmation required
