example_id,tweet_id,customer_text,next_agent_response,gold_intent,gold_action,gold_reason,model_intent,model_confidence,evidence_level,top_similarity,model_action,model_reason,model_reply,evidence_count,top_evidence_customer,top_evidence_response
gold_001,972534,@AppleSupport What if my country doesn't have genuine spare parts. My iPhone 7 screen is cracked &amp; I can't get it to be repaired at an AASP.,@320381 DM us and we'll check into additional service options. https://t.co/GDrqU22YpT,repair_support,escalate,Repair/service or physical device issue requires service handling.,hardware_device,0.3687,moderate,0.3386,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport My country is SAUDIA,@740958 Thanks for getting back to us with your country. Please click here in order to meet us in DM and we'll continue to work together: https://t.co/GDrqU22YpT
gold_005,385950,@115858 welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,@207371 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,hardware_device,escalate,General device hardware or device-function problem.,repair_support,0.4665,none,0.0,escalate,The 'repair_support' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,,
gold_008,2355005,"@AppleSupport Buenas tardes, me llego un correo algo sospechoso, me gustaría si pueden asesorarme.",@680382 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,account_icloud,escalate,"Apple ID, iCloud, authentication, or account-security issue.",hardware_device,0.4994,moderate,0.3662,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@AppleSupport hola me llego este correo , esto lo mandan ustedes ? https://t.co/mXYK0Xtufv",@220766 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join: https://t.co/OczyRx7IOs
gold_009,331707,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT",software_update,escalate,Issue is directly related to an operating-system update or version.,hardware_device,0.3797,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT"
gold_011,1130456,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT,apps_services,escalate,Application or Apple service functionality issue.,connectivity_calls,0.1777,strong,1.0,escalate,Intent classification confidence is below the safe handling threshold. Connectivity issues require higher classification confidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT
gold_014,2398066,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",hardware_device,0.1908,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,2,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT"
gold_016,898671,@115858 me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,@333391 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,battery_charging,escalate,"Battery, charging, or battery-life issue.",software_update,0.5977,weak,0.235,escalate,Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply. Software-update issues require higher classification confidence before automation. Software-update issues require stronger historical evidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@176769 @AppleSupport Lo odio... se acaba mi batería rapidísimo, se traba!!! No me gusto nada",@269675 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
gold_017,489673,"Help me Apple!!!!!  

Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport","@231625 We'd love to help. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? https://t.co/GDrqU22YpT",apps_services,escalate,Application or Apple service functionality issue.,hardware_device,0.4731,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,Help me Apple!!!!! Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport,"@231625 We'd love to help. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? https://t.co/GDrqU22YpT"
gold_019,291822,@AppleSupport I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,@185496 Great.  Glad it is working now.,other,auto_handle,Insufficient context or a general/novel issue.,hardware_device,0.5247,weak,0.2566,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,"@AppleSupport Thank you, it's fixed",@725022 We are happy to hear it's fixed. Please feel free to reach out if you need us in the future.
gold_020,257732,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,@177309 You’ve come to the right place! We have a team of iTunes Store experts who you can reach out to here: https://t.co/SDIe7UiyJN,purchases_billing,escalate,"Purchase, subscription, payment, refund, or billing issue.",account_icloud,0.7747,weak,0.2294,escalate,The 'account_icloud' intent is designated as high-risk and requires human review. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,2,@AppleSupport why can't I use my card to buy more iCloud storage on my card when I'm on family sharing? Am I missing something??,"@585429 On Family Sharing, what you buy is charged to the organizer's card, unless you have store credit. More here: https://t.co/dmLzCj6kTP"
gold_022,2014030,"@115858 purchased your fancy new phone on the first day, and now can’t type the letter “eye” in texts or emails...please fix ASAP!!!!",@595532 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",purchases_billing,0.587,moderate,0.3124,escalate,The 'purchases_billing' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport I️ can’t type the letter “I️”.,@464524 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
gold_024,2584338,My phone is TRIPPEN! @115858 we about to fight.,@732338 We'd love to help with your iPhone! Which version of iOS are you currently updated to?  Could you tell us a bit about how it's behaving?,other,escalate,Insufficient context or a general/novel issue.,software_update,0.187,moderate,0.4055,escalate,Intent classification confidence is below the safe handling threshold. Software-update issues require higher classification confidence before automation. Software-update issues require stronger historical evidence before automation.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@299769 @115858 My contacts gone too‼️‼️‼️ I'm ready to fight wtf,"@299768 We'd like to understand more about this. DM us which country you're in, and we'll take a look. https://t.co/GDrqU22YpT"
gold_025,1261297,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,@415476 We'd like to help. Which app are you playing music with when this happens? Does this persist after rebooting your device?,apps_services,escalate,Application or Apple service functionality issue.,hardware_device,0.5476,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport please fix the lock screen/music bug on iOS 11.0.3,@415476 We'd like to help. Which app are you playing music with when this happens? Does this persist after rebooting your device?
gold_027,1674734,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again.",keyboard_input,auto_handle,"Keyboard, typing, or autocorrect issue.",hardware_device,0.2471,strong,1.0,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,Hey @115858 iPhone gurus. Is there ANY way to get rid of this stupid screen when my phone goes sideways? It's absolutely useless. https://t.co/i0tlyj0oGv,"@509555 Hey there! Do you see the keyboard icon in the bottom right corner? If you select that, you'll have a horizontal keyboard again."
gold_029,2284114,"@AppleSupport Hello, I need to set up a reminder in my calendar but I’m not able to push the + button. Not sure how to fix it. Thanks https://t.co/u8kmzYjldJ","@391772 Thanks for reaching out about this!  We'd love to help.  Which device is this occurring on?  What iOS version is it running?  Finally, does this persist after you restart it? https://t.co/GDrqU22YpT",apps_services,escalate,Application or Apple service functionality issue.,hardware_device,0.4822,moderate,0.3018,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport hello I need help,@488463 We've got your DM and will continue with you there. Be on the lookout for our reply. Thanks!
gold_033,2247019,@AppleSupport What the heck? Type it and it forces “I.T”. Did your QA team take the last two releases off?,"@654841 We're ready to help you get this sorted. First, let's verify which version of iOS you have installed. You can find this at Settings &gt; General &gt; About. Please let is know what you find in DM. https://t.co/GDrqU22YpT",keyboard_input,escalate,"Keyboard, typing, or autocorrect issue.",hardware_device,0.3229,moderate,0.3157,escalate,The 'hardware_device' intent is designated as high-risk and requires human review. Intent classification confidence is below the safe handling threshold. There is insufficient historical resolution evidence for a grounded reply.,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,3,@AppleSupport what the heck?! https://t.co/EyfN4546O5,@592755 Thanks for contacting us today. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT
