customer_tweet_id,customer_author_id,customer_created_at,customer_text,agent_tweet_id,agent_created_at,agent_response
2341927,677415,2017-11-13 10:03:38+00:00,i updated my phone &amp; im still seeing those box question marks @AppleSupport i thought you were supposed to fix this 🤔🙄,2341926,2017-11-13 14:54:00+00:00,@677415 Let's see what we can do. Meet us in DM and we'll pick up from there. https://t.co/GDrqU22YpT
2780703,776624,2017-11-21 16:31:00+00:00,@AppleSupport The Music app.,2780705,2017-11-21 16:43:40+00:00,"@776624 Thank you. Not all info is available in the Music app. You can see some production information under the album view, at the bottom. Also, if you view the lyrics you can find information about the writer listed at the bottom."
2057166,370233,2017-10-06 20:08:35+00:00,@AppleSupport Battery drained quickly in my 6s.please help.,2057165,2017-10-06 22:40:00+00:00,@370233 Thank you for taking the time to contact us about this. We'll be glad to assist. Have you updated to iOS 11.0.2? Please DM us. https://t.co/GDrqU22YpT
2015803,596091,2017-11-05 16:46:25+00:00,Ok @115858 @AppleSupport this: I️ thing has gotta stop. Please fix this.,2015802,2017-11-05 19:50:28+00:00,@596091 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT
344398,197909,2017-10-07 23:44:12+00:00,@AppleSupport It’s an iPhone 7 Plus &amp; I’m on 11.0.1,344396,2017-10-08 01:32:51+00:00,"@197909 OK. We’ve released iOS version 11.0.2. Let’s make sure you have a backup, then update your iPhone: https://t.co/80YRnjDFDk"
2015423,595972,2017-11-05 15:39:11+00:00,@115858 @AppleSupport please fix this “I️” problem. Thanks.,2015422,2017-11-05 19:16:01+00:00,@595972 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT
2050438,606368,2017-10-05 17:59:36+00:00,Error 11.0.2. @115858 @AppleSupport 🙄 https://t.co/MoCPK35a2y,2050437,2017-10-05 18:43:01+00:00,@606368 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/nYknMGviju
1905759,567880,2017-10-28 23:12:53+00:00,@AppleSupport It is happening again. It is still set to always.,1905760,2017-10-28 23:23:01+00:00,@567880 Thanks for reaching back out. We'd like some additional details to assist. DM us with the link below and we'll continue. https://t.co/GDrqU22YpT
717230,291712,2017-10-10 23:37:44+00:00,@AppleSupport iPhone 7 plus. Version 11.0,717229,2017-10-11 00:29:30+00:00,"@291712 Okay, so that we can take a deeper look, feel free to DM us and we'll go from there: https://t.co/GDrqU22YpT"
84238,134530,2017-11-30 05:51:07+00:00,Hey @AppleSupport @115858 why did I play soccer and come back to every contact in my phone deleted? 2nd time that’s happened. #whatgives,84236,2017-11-30 14:01:38+00:00,@134530 We’d be glad to help take a closer look at your contacts. We’d like to start by gathering some more information so we can determine where to get started. Are these contacts saved in iCloud or another account on your iPhone? Let us know in DM and we’ll start there. https://t.co/GDrqU22YpT
1507324,469835,2017-11-03 04:28:47+00:00,Updated my phone and I still see these goddamn black boxes w/ question marks smh what's going on @115858,1507323,2017-11-03 13:41:31+00:00,@469835 We want to check this out. Send us a DM and we will go from there. https://t.co/GDrqU22YpT
612884,645453,2017-11-09 23:43:36+00:00,@AppleSupport Please sort out the battery issue. Getting beyond a joke now !!,2207700,2017-11-10 01:11:36+00:00,"@645453 Thanks so much for reaching out! We know how important your battery life is, so we'd be happy to look into what's going on. To start, can you let us know which device and software version you're experiencing issues on?"
2616558,739552,2017-11-17 06:58:43+00:00,"@AppleSupport the worst ios. Phone hang and a lot of issue. Fix it, make it done. Otherwise change to other brand",2616556,2017-11-17 14:37:00+00:00,@739552 Hi there. Please tell us what version of iOS you see under Settings &gt; General &gt; About &gt; Version. We'd love to help out.
