conversation_id,customer_id,tweet_id,timestamp,customer_text,cleaned_text,next_agent_response,message_position,cluster
customer_730273,730273,2575303,2017-11-16 19:49:17+00:00,@AppleSupport Need help with dropped calls since 11.1.1 update today.,Need help with dropped calls since 11.1.1 update today.,"@730273 We are here to help. Can you tell us a bit more about the calls? Does this happen with certain contacts, at certain times of the day, or in certain locations?",0,3
customer_774781,774781,2771761,2017-11-21 14:00:03+00:00,"@AppleSupport gosh, i have clicked the link and login with my id and password 😭","gosh, i have clicked the link and login with my id and password 😭",@774781 Thanks for letting us know. Let's have you reach out to our iTunes Store team to have them take a look at your account: https://t.co/SDIe7UiyJN,2,19
customer_505487,505487,1656551,2017-11-06 02:19:41+00:00,"Dear @115858, you are getting on my damn nerves with this letter “I” glitch. Fix this sh*t NOW!! Smh. People don’t have time for this BS","Dear , you are getting on my damn nerves with this letter “I” glitch. Fix this sh*t NOW!! Smh. People don’t have time for this BS",@505487 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0,18
customer_218646,218646,436446,2017-10-10 15:53:46+00:00,@AppleSupport It seems to lower very quickly with minimal use...,It seems to lower very quickly with minimal use...,"@218646 Understood, we'd like to take a deeper look into this, DM us and we'll get started. https://t.co/GDrqU22YpT",2,19
customer_302342,302342,2079336,2017-10-09 17:19:43+00:00,@AppleSupport the random capitalization bug (autocorrect) in the middle of sentences is frustrating.,the random capitalization bug (autocorrect) in the middle of sentences is frustrating.,@302342 Thanks for reaching out! We’d like to take a closer look at this with you. Please use the DM link below to share more details. https://t.co/GDrqU22YpT,2,10
customer_122935,122935,31444,2017-11-01 03:17:31+00:00,"Hey @AppleSupport I think my phone has dementia. No matter how many times I tell it not to update, it keeps asking.","Hey I think my phone has dementia. No matter how many times I tell it not to update, it keeps asking.","@122935 While this is expected to send reminders, you can leave us feedback about that here:  https://t.co/eTPVYVFyd8",0,16
customer_623262,623262,2113906,2017-11-08 13:39:05+00:00,@115858 FIX THAT DUMB GLITCH IN iOS 11.1,FIX THAT DUMB GLITCH IN iOS 11.1,@623262 Send us a DM with the issues you're experiencing and we'll take a look at this with you. https://t.co/GDrqU22YpT,0,3
customer_461864,461864,1472809,2017-11-03 00:11:02+00:00,So basically @AppleSupport is messed up because why are all my “I️” getting changed https://t.co/T4CGYWOIV8,So basically is messed up because why are all my “I️” getting changed,@461864 We want to help. Please DM us which iOS version you're on. We'll look into this with you there. https://t.co/GDrqU22YpT,0,18
customer_486989,486989,1582095,2017-11-04 16:07:51+00:00,also @115858 cant y’all fix this box shit when i️ say i️,also cant y’all fix this box shit when i️ say i️,@486989 We have a fix for this issue here: https://t.co/xU1AGHStV6,0,2
customer_484139,484139,1569655,2017-11-04 10:58:58+00:00,@115858 ever since installing iOS 11.0.3 on my iPhone 6 the clock app won’t keep time anymore! It updates randomly sometimes but IDK,ever since installing iOS 11.0.3 on my iPhone 6 the clock app won’t keep time anymore! It updates randomly sometimes but IDK,"@484139 We're here to help. First of all, we recently released iOS 11.1. Have you already updated? https://t.co/80YRnjDFDk",0,3
