example_id,customer_text,gold_intent,model_intent,model_action,intent_confidence,top_similarity,evidence_level,model_reply,historical_response,quality_score,non_empty,professional,helpful_request,intent_grounded,escalation_appropriate,historical_grounding,no_unsupported_claims
gold_001,@AppleSupport What if my country doesn't have genuine spare parts. My iPhone 7 screen is cracked &amp; I can't get it to be repaired at an AASP.,repair_support,hardware_device,escalate,0.3687,0.3386,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@740958 Thanks for getting back to us with your country. Please click here in order to meet us in DM and we'll continue to work together: https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_002,@AppleSupport Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,software_update,software_update,auto_handle,0.9918,0.5344,strong,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,@461989 Go ahead and DM us when you started seeing this issue and we'll continue working there. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_003,@AppleSupport I’m afraid the update hasn’t helped. Phone still going haywire. Any thoughts?,software_update,software_update,escalate,0.7314,0.2394,weak,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@161527 You're welcome!,0.7142857142857143,True,True,True,False,True,False,True
gold_004,"@115858 while the new ios is okay, why the hell does it ALWAYS turn on WiFi and Bluetooth?! It’s killing battery for nothing! Sort it out.",connectivity_calls,connectivity_calls,escalate,0.6592,0.3022,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@124682 Are you doing it from Control Center? That would just disconnect your devices. Learn more here: https://t.co/G7BHuQnDS6,0.7142857142857143,True,True,True,False,True,False,True
gold_005,@115858 welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,hardware_device,repair_support,escalate,0.4665,0.0,none,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,,0.8571428571428571,True,True,True,True,True,False,True
gold_006,What's wrong with @115858 #iphone not working since this morning. Only  these boot screen. Anyone have any clue? https://t.co/0kO3qhUjJB,hardware_device,hardware_device,escalate,0.3359,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@565007 Let us help! This article explains what to do if they get stuck during start up: https://t.co/8MvHMFZ83h DM us if issue persists. https://t.co/GDrqU22YpT,0.8571428571428571,True,True,True,True,True,False,True
gold_007,@AppleSupport having trouble with my iphone x allready joke man,hardware_device,hardware_device,escalate,0.3462,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@468641 We're here to help. To start, what iOS version are you using and what issue(s) are you experiencing exactly?",0.8571428571428571,True,True,True,True,True,False,True
gold_008,"@AppleSupport Buenas tardes, me llego un correo algo sospechoso, me gustaría si pueden asesorarme.",account_icloud,hardware_device,escalate,0.4994,0.3662,moderate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@220766 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join: https://t.co/OczyRx7IOs,0.8571428571428571,True,True,True,True,True,False,True
gold_009,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus",software_update,hardware_device,escalate,0.3797,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,"@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT",0.8571428571428571,True,True,True,True,True,False,True
gold_010,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,hardware_device,hardware_device,escalate,0.2441,1.0,strong,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24,1.0,True,True,True,True,True,True,True
