example_id,conversation_id,customer_id,tweet_id,timestamp,customer_text,cleaned_text,next_agent_response,word_count,gold_intent,gold_action,gold_reason,annotator_notes,model_intent,model_reply,model_action,model_reason,split
gold_001,customer_320381,320381,972534,2017-10-11 17:37:47+00:00,@AppleSupport What if my country doesn't have genuine spare parts. My iPhone 7 screen is cracked &amp; I can't get it to be repaired at an AASP.,What if my country doesn't have genuine spare parts. My iPhone 7 screen is cracked &amp; I can't get it to be repaired at an AASP.,@320381 DM us and we'll check into additional service options. https://t.co/GDrqU22YpT,27,,,,,,,,,golden
gold_002,customer_358222,358222,1006708,2017-10-15 17:41:29+00:00,@AppleSupport Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,Iphone 7 256GB / ios 11.0.1. And ios 11.0.3 now,@358222 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,11,,,,,,,,,golden
gold_003,customer_174836,174836,247622,2017-10-06 14:31:33+00:00,@AppleSupport I’m afraid the update hasn’t helped. Phone still going haywire. Any thoughts?,I’m afraid the update hasn’t helped. Phone still going haywire. Any thoughts?,"@174836 Which iOS and model are you using? Also, do you use a screen protector or case?
 Does the issue persist after removing those?",13,,,,,,,,,golden
gold_004,customer_207583,207583,386884,2017-10-09 05:51:41+00:00,"@115858 while the new ios is okay, why the hell does it ALWAYS turn on WiFi and Bluetooth?! It’s killing battery for nothing! Sort it out.","while the new ios is okay, why the hell does it ALWAYS turn on WiFi and Bluetooth?! It’s killing battery for nothing! Sort it out.",@207583 We're glad to help. Wi-Fi and Bluetooth options in the Control Center have been updated for iOS 11: https://t.co/vzVz37YMv0,26,,,,,,,,,golden
gold_005,customer_207371,207371,385950,2017-10-09 03:37:46+00:00,@115858 welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,welp this is my second i 6 to short out on me. and like last time i guess i have to buy a brand new phone b/c u guys cant 'repair' it,@207371 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,33,,,,,,,,,golden
gold_006,customer_565007,565007,1895594,2017-10-24 06:45:18+00:00,What's wrong with @115858 #iphone not working since this morning. Only  these boot screen. Anyone have any clue? https://t.co/0kO3qhUjJB,What's wrong with #iphone not working since this morning. Only these boot screen. Anyone have any clue?,@565007 Let us help! This article explains what to do if they get stuck during start up: https://t.co/8MvHMFZ83h DM us if issue persists. https://t.co/GDrqU22YpT,19,,,,,,,,,golden
gold_007,customer_468641,468641,1633133,2017-11-05 17:07:51+00:00,@AppleSupport having trouble with my iphone x allready joke man,having trouble with my iphone x allready joke man,"@468641 We're here to help. To start, what iOS version are you using and what issue(s) are you experiencing exactly?",10,,,,,,,,,golden
gold_008,customer_680382,680382,2355005,2017-11-13 18:43:27+00:00,"@AppleSupport Buenas tardes, me llego un correo algo sospechoso, me gustaría si pueden asesorarme.","Buenas tardes, me llego un correo algo sospechoso, me gustaría si pueden asesorarme.",@680382 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,14,,,,,,,,,golden
gold_009,customer_194990,194990,331707,2017-10-07 18:38:22+00:00,"@AppleSupport it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","it’s a well known issue by now, many complaints about it 11.0.1 on iPhone 6s Plus","@194990 Thanks. So that we can look into this a bit further, send us a Direct Message, and we’ll go from there. https://t.co/GDrqU22YpT",17,,,,,,,,,golden
gold_010,customer_265759,265759,2286658,2017-11-12 10:19:16+00:00,@AppleSupport When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,When i use navigation on my iPhone I first have to authenticate with my thumb so I can use the navigation. How will it work with the iPhone X? Do i really have to hold it up in front my face to use it while driving?,@265759 We'd love to help clarify. Face ID would be used in any case where Touch ID was previously used. This article has more information about how to use Face ID as well: https://t.co/fmYLguPU24,47,,,,,,,,,golden
gold_011,customer_142528,142528,1130456,2017-10-15 12:58:14+00:00,@386409 @115858 I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,I installed something and now my Twitter isn’t working properly. Every time I turn it on it goes back about 8 hours. I’m missing stuff!,@142528 We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT,27,,,,,,,,,golden
gold_012,customer_630127,630127,2143242,2017-11-08 22:27:35+00:00,@AppleSupport why is this popping up every 2 minutes when I don’t send text messages 🙃 https://t.co/T6DP5EC5aY,why is this popping up every 2 minutes when I don’t send text messages 🙃,@630127 Thanks for contacting us. We'd like to take a closer look at this. Please reach out in DM with your iOS verison. https://t.co/GDrqU22YpT,17,,,,,,,,,golden
gold_013,customer_446606,446606,1404826,2017-10-28 17:42:55+00:00,iOS 11 has destroyed the speed and battery life on my iPhone 6 and 5s. This sucks big time! @115858 @AppleSupport,iOS 11 has destroyed the speed and battery life on my iPhone 6 and 5s. This sucks big time!,@446606 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,21,,,,,,,,,golden
gold_014,customer_237300,237300,2398066,2017-11-14 04:52:27+00:00,@115858 y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,y’all can put that entire trash ass U2 album on my phone against my will but y’all can’t fix this I* glitch immediately ??,"@237300 We recently released iOS 11.1.1 to address this issue. If you haven't had the opportunity, let's update following the steps here: https://t.co/8xihd9VRBM Please DM us if the issue continues after updating. https://t.co/GDrqU22YpT",25,,,,,,,,,golden
gold_015,customer_682279,682279,2362993,2017-11-13 22:05:00+00:00,"@AppleSupport No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t. https://t.co/0waBSCRpmW","No, still has same problem after I swiped application off and restart. iOS 11.1.1 the latest update. Problem is on and off, sometimes works, sometimes doesn’t.",@682279 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,28,,,,,,,,,golden
gold_016,customer_333391,333391,898671,2017-11-07 23:58:56+00:00,@115858 me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,me estáis valiando o q ?? entre q el ios11 gasta más batería q yo q sé y q no lo arregláis.. estamos apañados 😡😐 cracks,@333391 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,27,,,,,,,,,golden
gold_017,customer_231625,231625,489673,2017-12-01 15:28:34+00:00,"Help me Apple!!!!!  

Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport",Help me Apple!!!!! Every time I go onto a app the app crashes is there anyway to fix this?,"@231625 We'd love to help. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? https://t.co/GDrqU22YpT",20,,,,,,,,,golden
gold_018,customer_497274,497274,1623351,2017-11-05 10:53:46+00:00,@115858 fix my fucking phone bro i updated it to the latest software &amp; its still tweakin,fix my fucking phone bro i updated it to the latest software &amp; its still tweakin,@497274 We'd love to help! This article goes over a workaround for this issue: https://t.co/xXaXeeSRt9,17,,,,,,,,,golden
gold_019,customer_185496,185496,291822,2017-10-06 17:30:07+00:00,@AppleSupport I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,I did restart after I sent this and it fixed it. Will inform Apple if I have the problem again. Thank you.,@185496 Great.  Glad it is working now.,23,,,,,,,,,golden
gold_020,customer_177309,177309,257732,2017-10-05 18:59:47+00:00,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,@177309 You’ve come to the right place! We have a team of iTunes Store experts who you can reach out to here: https://t.co/SDIe7UiyJN,22,,,,,,,,,golden
gold_021,customer_690142,690142,2398045,2017-11-13 06:56:53+00:00,"What the hell is wrong with iPhone batteries now?! Unplugged it at 6.00, 45 minutes later I pick it up and battery is 65%. Haven’t even used it! Is this @115858 ‘s way of getting me to buy an X?","What the hell is wrong with iPhone batteries now?! Unplugged it at 6.00, 45 minutes later I pick it up and battery is 65%. Haven’t even used it! Is this ‘s way of getting me to buy an X?","@690142 Let's find out what's going on. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version.  Let us know in Direct Message and we'll take a look. https://t.co/GDrqU22YpT",40,,,,,,,,,golden
