conversation_id,customer_id,tweet_id,timestamp,customer_text,cleaned_text,next_agent_response,message_position,weak_intent
customer_665557,665557,2291668,2017-11-26 14:42:22+00:00,"Hey @AppleSupport, I’m trying to get one of your Geniuses to check my dead MacBook Pro, but I’m not welcome in the Amsterdam Genius Bar (at all). Rather, it’s telling me to go to Germany or the UK. WHAT? https://t.co/gMwpnzQaLm","Hey , I’m trying to get one of your Geniuses to check my dead MacBook Pro, but I’m not welcome in the Amsterdam Genius Bar (at all). Rather, it’s telling me to go to Germany or the UK. WHAT?",@665557 Have you tried using: https://t.co/PruGCHO1ib Let us know if that link helps.,0,repair_support
customer_167165,167165,215340,2017-10-05 07:34:49+00:00,@AppleSupport Rotation is sticking into landscape time to time and the messaging app isn’t allowing my to scroll past the newest message.,Rotation is sticking into landscape time to time and the messaging app isn’t allowing my to scroll past the newest message.,"@167165 There was an update to iOS 11.0.2. Have you done that update already? If not, let's do that now and see if the issue persists.",2,messaging
customer_583512,583512,1969773,2017-10-31 16:36:48+00:00,my charger legit caught flame yesterday and burned my finger... @AppleSupport,my charger legit caught flame yesterday and burned my finger...,@583512 We want to help and look into this with you. DM us which country you're in and we'll continue with you there. https://t.co/GDrqU22YpT,0,battery_charging
customer_435523,435523,1935703,2017-10-27 17:59:24+00:00,@AppleSupport neither phone lines nor chat online are available + your web UI doesn’t allow updating shipping address. Not great experience,neither phone lines nor chat online are available + your web UI doesn’t allow updating shipping address. Not great experience,@435523 Send us a DM and let us know what shipping address you are trying to update and we do everything we can to help. https://t.co/GDrqU22YpT,0,hardware_device
customer_631024,631024,2146630,2017-11-08 20:29:46+00:00,@115858 please help I’m having issues attaching photos to emails in both mail and outlook https://t.co/02FjOIPiAu,please help I’m having issues attaching photos to emails in both mail and outlook,@631024 We'd love to help. Are you adding the photos within the apps or using the share menu from the Photos app?,0,apps_services
customer_547975,547975,1825491,2017-10-17 02:55:19+00:00,@AppleSupport As i havent been using icloud services since May 2017 and not able find a way to stop it.ID: __email__,As i havent been using icloud services since May 2017 and not able find a way to stop it.ID: __email__,"@547975 We'd like to help you with your Apple product or service, can you meet us in DM and explain what you're trying to stop? https://t.co/GDrqU22YpT",0,account_icloud
customer_459888,459888,1757871,2017-11-07 17:18:19+00:00,@AppleSupport now my typing is giving me unselected “?” in squares. What’s the  fix? Please and thank you.,now my typing is giving me unselected “?” in squares. What’s the fix? Please and thank you.,@459888 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,4,keyboard_input
customer_421397,421397,2303192,2017-11-12 16:08:34+00:00,@AppleSupport is there a problem whit network? i am having issues whit sending text message ...,is there a problem whit network? i am having issues whit sending text message ...,@421397 We know how important iMessages are to keeping in touch with friends and family. We'll be happy to assist. Are you getting a specific error when trying to send an SMS or iMessage? Check out: https://t.co/2hgNQH8Vvq What device and version of OS are we working with?,0,messaging
customer_659626,659626,2266172,2017-11-11 03:31:16+00:00,@AppleSupport I got my iPhone X today and since restoring (6 hrs ago) from my iCloud backup I get this message every 30-90 seconds. HELP ME! https://t.co/laeLmfq8qS,I got my iPhone X today and since restoring (6 hrs ago) from my iCloud backup I get this message every 30-90 seconds. HELP ME!,@659626 Were you trying to make a purchase? What were you doing when this occurred? Tell us more about what's going on in DM. https://t.co/GDrqU22YpT,0,messaging
customer_612197,612197,2070089,2017-10-08 20:20:54+00:00,"@AppleSupport Hi, is there I way I can check my iPhone's battery health? Trying to decide if I need a battery replacement.","Hi, is there I way I can check my iPhone's battery health? Trying to decide if I need a battery replacement.","@612197 We'd can certainly help look into that from here. In order to properly address this, please DM us what you're experiencing. https://t.co/GDrqU22YpT",0,repair_support
